review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
R3EQSTM9PWRAL,3,0,0,N,Y
RBWPRK17XKIXD,5,0,0,N,Y
RRSLOAF273XFC,5,1,2,N,Y
R3S8W9Q6SWIT8O,4,0,0,N,Y
R3QQ6NSLRVBFJC,4,0,0,N,Y
R2XYDBMHUVJCSX,2,0,1,N,Y
R1L94ESVC657A9,5,0,0,N,Y
R3DI4B8LDWFQ3K,1,3,4,N,Y
R1G7VV4HCXUQQL,5,0,0,N,Y
R3TTNYN1TAMUSU,5,0,0,N,Y
R3AMX2D9HMWV6Z,5,0,0,N,Y
R3PO3K321GY8HI,1,0,0,N,Y
RVQ0UNYX6IEVK,1,0,1,N,Y
R25E9NIGO2XQ3D,5,0,0,N,Y
R3GIEXIIIR2G9Y,1,0,0,N,Y
R264BH3U417NXF,5,0,0,N,Y
R2C6S0XJIMP0Z2,5,0,0,N,Y
R2LRJYGC2YYR2F,2,0,0,N,Y
R3SVW9ZP1CZPW7,1,0,1,N,Y
R1GLA6RQUF4Q79,4,0,0,N,Y
R1UXYY06OAAUQ,3,0,0,N,Y
R37R181DDM2UUL,4,2,2,N,Y
R27SGADEMD656F,5,0,1,N,Y
R2H4PFXM303UPQ,4,3,3,N,Y
RZ9HASH6YNE4J,5,1,1,N,Y
RCE8WNGDG2QHE,3,0,0,N,Y
R2Z3FWLT7V5BDV,5,0,0,N,N
R1LII928W7JJFN,5,0,0,N,Y
RR3HYBU0LOG05,5,2,3,N,Y
R2604WANPTX0YO,5,0,0,N,Y
RH7A4CZ5CKC72,4,0,1,N,Y
R2NGB1TRR68FI1,5,0,1,N,Y
R1DW9HGGSGPW1L,4,0,0,N,Y
RNV4CWGB974GE,2,0,1,N,Y
R45LXAPWF1BYU,5,9,10,N,Y
R1NES47DS1OHKM,5,0,0,N,Y
R3G123CRMPX774,5,0,0,N,Y
RMHV44UUQNFKD,5,2,3,N,Y
R3HZ55S6TZ36CG,5,0,0,N,Y
RGH2EH7QM0LOO,5,0,0,N,Y
R1YPKAZAW2AYBS,5,0,0,N,Y
R2D1QHB72QYC2W,5,2,2,N,Y
R2TZRCJCU1CH36,5,0,0,N,N
R2PAXVVB0G1AM6,5,0,0,N,Y
RZNIJWRS0LCQX,4,0,0,N,Y
RLBGTWG2E2JQ1,5,13,16,N,Y
R1MKO6NLYVTR7B,5,12,12,N,Y
R1VRO8J966Q7KZ,5,0,0,N,Y
R3M6DNKH40KE70,5,2,3,N,N
R3DCSSB8K3QFA3,5,0,0,N,Y
R1YRBYGW7DKF2B,5,0,0,N,Y
R2TDB1AN00LB5B,4,3,4,N,Y
R294IGQ1NA3NXH,5,0,0,N,N
RZE40JV6V4IV6,5,0,0,N,Y
R1IT6PH08O3E8I,5,0,0,N,Y
R222C2BHK9KPL,5,0,0,N,Y
R222C4BBYUF2TX,5,5,7,N,Y
R2984F9VD9WDJB,1,37,46,N,Y
R3E2B3EGIUSKNC,5,0,0,N,Y
R1KKBOFZ3KFTLD,5,0,0,N,Y
R20H8HZ9YLA88B,5,0,0,N,Y
R3ROSQJ6VL9Q6A,5,0,0,N,Y
R282YEFV0ZPHD7,5,3,4,N,Y
RC61CN07VXB1I,2,1,1,N,N
R2BH5NA7H0LBP9,4,0,0,N,Y
RZ4I492HYC3G3,1,0,0,N,Y
R3UQ3EJ0T6Z87M,5,0,1,N,Y
RMXMIVW5LBZBY,4,0,0,N,Y
R3G4XC4CDA5PF4,5,2,7,N,Y
RNB10A158B5WM,5,0,0,N,Y
R3CBWBH9N3KD4T,5,0,0,N,Y
R1NLQ0DAMM5EP1,5,2,2,N,N
R14FMWKMNMZWGB,5,0,0,N,Y
R3QZOBE82JWNT0,5,4,5,N,Y
R2R8UHQEAS72ZV,2,0,0,N,Y
R367NJ6UIK4Y7Q,4,0,0,N,Y
R1LUCAQEF2QQHW,5,0,0,N,Y
RG1GTXI6INW51,1,1,3,N,Y
R7HFJODX21V6M,5,0,0,N,Y
R2V254RHQ2QHWJ,5,0,0,N,N
R1KY4OXLUH9ET5,5,0,0,N,Y
RTX0USNIFSP2T,5,0,0,N,Y
R2CUB8SJIYQ16Z,5,0,0,N,Y
R3L4B53J3LUGZ3,2,0,0,N,Y
RV7CQHYHFCFC,5,1,1,N,Y
RR1G6BYWVJQE5,5,0,0,N,Y
R3N7ZYC1DBBLIV,5,1,1,N,Y
R4FTYY3INTLVL,4,0,0,N,Y
R26OCILNRH0PSA,5,0,0,N,Y
R264BC4ANFX8KS,4,0,0,N,Y
R3VL4ZG5ZW2BO,1,0,0,N,Y
RD3GQJQN71FEW,5,0,0,N,Y
R2C92ANPN4X5SU,5,0,0,N,Y
R1O011SXCC6MOK,5,0,0,N,Y
RQ84B4TTNL605,5,0,0,N,Y
R1WKC7VXXCW05C,5,0,0,N,N
R7U20DUUOUR7G,5,0,0,N,N
RTWY2QYRHD5TF,5,0,0,N,N
RVY8F8U42NPIM,5,0,0,N,Y
RAPD38IGFKT58,5,0,0,N,Y
R3NTB1LSG00IZO,4,0,0,N,Y
R1USYSNZMLBXFJ,5,1,2,N,Y
RYSR3SDXIAB8L,5,0,1,N,Y
R35G1IKHA9CNDB,5,0,0,N,Y
RU106S4SY59NQ,4,0,0,N,N
R2CYI69N1W4NPE,4,3,3,N,Y
R1CWSJZOHI1OOU,5,0,0,N,Y
RKJDVPC0XKKMA,1,1,1,N,Y
RIQ8BHQA8XGSM,5,0,0,N,Y
R3CWYU8P5CZC84,4,0,0,N,Y
RNR1M9V4YHS0P,5,1,1,N,Y
RHNNQFAHA5H3X,5,0,0,N,Y
R3JA03NFOT8BE7,4,0,0,N,Y
R2B7RBBKX6FM74,5,0,0,N,Y
R1A1VYDM6V1295,5,0,0,N,Y
R3Q2LFRK2WCQXD,5,0,0,N,N
RLBXJCTDCHO4X,3,0,0,N,N
R1FNW64XPG310W,5,0,0,N,Y
R33ZGP0T9B6ZZ1,1,0,0,N,Y
RTB7ZH35PBQZX,3,0,1,N,Y
R3FY9B6OVNX8OC,5,1,1,N,Y
R15R0P5KU4ZSUA,5,0,0,N,Y
RGDLVLDCGYZYJ,4,0,0,N,Y
RPZ1GTLW9VOSO,4,0,0,N,N
R1AKE8YICJ4H9M,5,1,1,N,Y
R2LG6BEWKH9PF1,5,1,1,N,Y
R2HAQ0NL12RREM,5,3,3,N,Y
R2QQTTV3LYPE7B,5,0,0,N,Y
R3QRF96455AR4R,4,1,2,N,Y
R3R4AXBIFF6FSM,3,0,0,N,Y
R39E4GBG4XDBYG,5,0,0,N,Y
R2XNR0QSCEDQK0,4,1,1,N,Y
RSZ871DF0BWV6,5,1,2,N,Y
R6OEFFF8BZNER,5,0,2,N,Y
R3GLZFPRYTVCCU,5,0,0,N,Y
RVSAMQTS2OFNE,5,1,1,N,Y
RQ6K3NJN49ZBW,5,3,5,N,Y
R3R5JY2BVRPL3O,5,0,1,N,Y
R15HDSRMS3VZ3B,2,0,0,N,Y
R146847FILQRR5,5,1,1,N,Y
R212VOKBP202RI,4,1,1,N,Y
R2F6GUO63BRQDT,5,0,0,N,Y
R3UEEBET75F6V0,5,0,1,N,Y
R24IDOT3NS1JZ9,5,1,1,N,Y
R2AU2KG31NSYNV,4,0,0,N,Y
RRT0U26COFKHJ,5,0,0,N,Y
R3DQY5LJ91MCQP,5,4,4,N,Y
R2T5FC0RXJVQ1O,5,1,1,N,Y
R1RPBGPQ5W30ME,4,0,0,N,Y
R2L90RS8TW5666,5,0,0,N,Y
R1UB5KQ4Q32YE8,4,2,2,N,Y
R1QGWFZE2FL922,4,0,2,N,Y
RB19KDRW26Y5H,5,0,0,N,N
R1PBLBQE3KJ7IK,5,0,0,N,Y
R9U8BL6V0BFMC,5,0,0,N,N
R33ZBO1173MB73,1,0,0,N,N
R8RE6NYC73Y81,5,1,2,N,Y
R3SSAYN8MXL6H4,3,0,0,N,Y
R42SUKDNJOOK9,5,0,1,N,Y
R2LTMV85G8XWY6,5,0,0,N,N
RHG477XSMBNTE,5,0,0,N,Y
R3NFNO7QSF02VO,5,0,0,N,N
R3K8K9AI1T16KS,5,1,3,N,Y
RO23ZCE3IQ768,5,0,0,N,Y
RNISV41IHLEOC,4,2,2,N,Y
R3BR1GCIMVTL5P,3,0,0,N,Y
R2BGY9GH1CXW4F,3,0,0,N,N
R6QXX25R53XCY,5,1,1,N,N
R2MS49BV9KDRWJ,5,0,0,N,N
R33RTAVKHR0JZ5,5,0,0,N,Y
RB8H68YDVX5E5,5,0,0,N,Y
R1UAVCMDLOXP1Y,5,1,1,N,N
RD86XCYLP1B3G,5,0,0,N,Y
RH3UACU4SGWUS,5,0,0,N,Y
RL7ZSW0TLGTWE,5,0,1,N,Y
R3C82SO5CSRNSG,5,0,0,N,Y
RK2VDWB7I5SHY,5,0,0,N,Y
R8UOZR8QLR56I,5,0,0,N,Y
R218TGWCIAZYNY,5,191,198,N,Y
RL44D6RAIUF5S,5,4,4,N,N
R2EVC85X6EKC1W,5,0,0,N,Y
R1S3I6QNZ79ZFM,1,0,0,N,Y
R2GFBL2L2Y6KT5,4,0,0,N,Y
RSXAJXOVQ98SY,4,0,0,N,Y
R200RFC16X1SLY,3,1,2,N,Y
R18MP9A8RC43B2,1,6,6,N,Y
R1AYLHHT3S7TEA,5,0,1,N,Y
R2OGYSGYYI8N9Y,5,0,0,N,Y
R3L2VPPZFHVHU7,4,0,0,N,Y
R34I6A4V9GRPKU,5,0,0,N,N
R1495CXI5HAX0N,2,0,1,N,Y
